,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerName,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,match_date,position,playerId,Venue,xThreat,xThreat_gen,event_type,cumulative_mins,index,id,Score,match_string,team_name,shirtNo,is_open_play,is_progressive,is_pass_into_box,won_possession,key_pass,assist,FinalThirdPasses,is_carry_into_box,progressive_carry,pre_assist,distance,angle,switch
1700,854.0,75.0,22.0,30,66.6,72.4,83.0,2.0,,Successful,"[{'StandingSave': True}, {'Zone': 'Left'}, {'Length': '18.4'}, {'PassEndX': '77.4'}, {'PassEndY': '93.7'}, {'Angle': '0.91'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passForward', 'passLeft', 'finalThird', 'pos']",True,Destiny Udogie,77.4,93.7,,,,,,,,,,,1729302,2023-09-30,DL,401044.0,Home,0.006655804837051766,0.006655804837051766,Pass,82.83333333333333,1417.0,2597531115.0,2 : 1,Tottenham - Liverpool,Tottenham,38.0,True,False,False,False,False,False,True,,,False,23.881582862113646,1.1015307993691346,False
1701,854.5,75.0,23.5,30,77.4,93.7,83.0,2.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,Manor Solomon,83.9,89.6,,,,,,855.0,,,,,1729302,2023-09-30,Sub,345022.0,Home,-0.0128623748332191,0.0,Carry,82.85833333333333,,,,,,,True,False,False,False,False,False,False,,,False,7.685050422736345,-0.5627372227610843,False
1702,855.0,75.0,25.0,30,83.9,89.6,83.0,2.0,,Successful,"[{'PassEndX': '72.2'}, {'Zone': 'Left'}, {'StandingSave': True}, {'Angle': '3.62'}, {'Length': '13.8'}, {'PassEndY': '80.3'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passBack', 'passRight', 'finalThird', 'pos']",True,Manor Solomon,72.2,80.3,,,,,,,,,,,1729302,2023-09-30,Sub,345022.0,Home,-0.0128623748332191,0.0,Pass,82.88333333333334,1418.0,2597531155.0,2 : 1,Tottenham - Liverpool,Tottenham,27.0,True,False,False,False,False,False,True,,,False,14.945902448497382,-2.4699864973360532,False
1703,856.0,75.0,28.0,30,72.0,79.7,83.0,2.0,,Successful,"[{'Zone': 'Center'}, {'Length': '7.8'}, {'StandingSave': True}, {'Angle': '4.51'}, {'PassEndY': '68.5'}, {'PassEndX': '70.5'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passBack', 'passRight', 'finalThird', 'pos']",True,Destiny Udogie,70.5,68.5,,,,,,,,,,,1729302,2023-09-30,DL,401044.0,Home,-0.000983543394926456,0.0,Pass,82.93333333333334,1419.0,2597531211.0,2 : 1,Tottenham - Liverpool,Tottenham,38.0,True,False,False,False,False,False,True,,,False,11.300000000000002,-1.7039326543465443,False
1704,856.5,75.0,29.5,30,70.5,68.5,83.0,2.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,Yves Bissouma,71.0,60.0,,,,,,857.0,,,,,1729302,2023-09-30,DMC,303096.0,Home,-0.001480634677785888,0.0,Carry,82.95833333333334,,,,,,,True,False,False,False,False,False,False,,,False,8.514693182963201,-1.512040504079174,False
1705,857.0,75.0,31.0,30,71.0,60.0,83.0,2.0,,Successful,"[{'Length': '19.6'}, {'PassEndY': '31.5'}, {'Zone': 'Center'}, {'PassEndX': '68.4'}, {'Angle': '4.57'}, {'StandingSave': True}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passBack', 'passRight', 'finalThird', 'pos']",True,Yves Bissouma,68.4,31.5,,,,,,,,,,,1729302,2023-09-30,DMC,303096.0,Home,-0.001480634677785888,0.0,Pass,82.98333333333333,1420.0,2597531287.0,2 : 1,Tottenham - Liverpool,Tottenham,8.0,True,False,False,False,False,False,True,,,False,28.61835075611451,-1.661772569568764,False
1706,858.0,75.0,34.0,30,70.7,33.0,83.0,2.0,,Successful,"[{'Length': '9.1'}, {'PassEndY': '46.3'}, {'Zone': 'Center'}, {'PassEndX': '69.5'}, {'Angle': '1.71'}, {'StandingSave': True}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passBack', 'passLeft', 'finalThird', 'pos']",True,Cristian Romero,69.5,46.3,,,,,,,,,,,1729302,2023-09-30,DC,323663.0,Home,-0.0007670308032131194,0.0,Pass,83.03333333333333,1421.0,2597531333.0,2 : 1,Tottenham - Liverpool,Tottenham,17.0,True,False,False,False,False,False,True,,,False,13.354025610279468,1.66077824799782,False
1707,859.0,75.0,37.0,30,69.2,44.6,83.0,2.0,,Successful,"[{'Length': '7.2'}, {'Zone': 'Center'}, {'Angle': '4.42'}, {'StandingSave': True}, {'PassEndX': '67.2'}, {'PassEndY': '34.5'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passBack', 'passRight', 'finalThird', 'pos']",True,Yves Bissouma,67.2,34.5,,,,,,,,,,,1729302,2023-09-30,DMC,303096.0,Home,-0.0011092675838826824,0.0,Pass,83.08333333333333,1422.0,2597531357.0,2 : 1,Tottenham - Liverpool,Tottenham,8.0,True,False,False,False,False,False,True,,,False,10.296115772464878,-1.7662871270435774,False
1708,860.0,75.0,38.0,30,67.2,34.5,83.0,2.0,,Successful,"[{'PassEndX': '63.9'}, {'Angle': '1.86'}, {'StandingSave': True}, {'PassEndY': '51.6'}, {'Length': '12.1'}, {'Zone': 'Center'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'midThird', 'pos']",True,Cristian Romero,63.9,51.6,,,,,,,,,,,1729302,2023-09-30,DC,323663.0,Home,-0.0014003025927278555,0.0,Pass,83.10000000000001,1423.0,2597531393.0,2 : 1,Tottenham - Liverpool,Tottenham,17.0,True,False,False,False,False,False,False,,,False,17.415510328439993,1.7614352327089924,False
1709,861.0,75.0,40.0,30,64.0,54.2,83.0,2.0,,Successful,"[{'StandingSave': True}, {'PassEndY': '70.9'}, {'PassEndX': '74.1'}, {'Zone': 'Center'}, {'Length': '15.5'}, {'Angle': '0.82'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'successfulFinalThirdPasses', 'passForward', 'passLeft', 'finalThird', 'pos']",True,Micky van de Ven,74.1,70.9,,,,,,,,,,,1729302,2023-09-30,DC,425229.0,Home,0.006512273113496378,0.006512273113496378,Pass,83.13333333333334,1424.0,2597531479.0,2 : 1,Tottenham - Liverpool,Tottenham,37.0,True,False,False,False,False,False,True,,,False,19.51665955024066,1.0268619025110743,False
