,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerName,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,match_date,position,playerId,Venue,xThreat,xThreat_gen,event_type,cumulative_mins,index,id,Score,match_string,team_name,shirtNo,is_open_play,is_progressive,is_pass_into_box,won_possession,key_pass,assist,FinalThirdPasses,is_carry_into_box,progressive_carry,pre_assist,distance,angle,switch
0,2.0,0.0,0.0,189,0.0,0.0,0.0,1.0,,Successful,[],[],False,Unknown,,,,,,,,,,,,,1729245,2023-11-12,,,Away,,,Start,0.0,0.0,2617086125.0,3 : 0,Liverpool - Brentford,Brentford,,True,False,False,False,False,False,False,,,False,,,False
1,2.0,0.0,0.0,26,0.0,0.0,0.0,1.0,,Successful,[],[],False,Unknown,,,,,,,,,,,,,1729245,2023-11-12,,,Home,,,Start,0.0,1.0,2617086151.0,3 : 0,Liverpool - Brentford,Liverpool,,True,False,False,False,False,False,False,,,False,,,False
2,3.0,0.0,0.0,189,50.0,50.0,0.0,1.0,,Successful,"[{'Length': '19.4'}, {'Angle': '3.14'}, {'PassEndY': '50.1'}, {'StandingSave': True}, {'Zone': 'Back'}, {'PassEndX': '31.5'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'defensiveThird', 'pos']",True,Mathias Jensen,31.5,50.1,,,,,,,,,,,1729245,2023-11-12,MC,339674.0,Away,-0.004189492972972967,0.0,Pass,0.0,2.0,2617086181.0,3 : 0,Liverpool - Brentford,Brentford,8.0,True,False,False,False,False,False,False,,,False,18.50027026829608,3.1361873008292442,False
3,4.0,0.0,2.0,189,32.4,51.2,0.0,1.0,,Unsuccessful,"[{'Angle': '5.93'}, {'Longball': True}, {'Length': '49.3'}, {'StandingSave': True}, {'PassEndX': '76.4'}, {'PassEndY': '25.9'}, {'Zone': 'Center'}]","['touches', 'passInaccurate', 'passLongBallInaccurate', 'passForward', 'passRight', 'finalThird', 'pos']",True,Ethan Pinnock,76.4,25.9,,,,,,,,,,,1729245,2023-11-12,DC,342499.0,Away,,,Pass,0.03333333333333333,3.0,2617086213.0,3 : 0,Liverpool - Brentford,Brentford,5.0,True,True,False,False,False,False,False,,,False,50.75519677826105,-0.5218342798144104,True
4,3.0,0.0,6.0,26,22.1,74.2,0.0,1.0,,Unsuccessful,"[{'HeadPass': True}, {'Angle': '6.06'}, {'PassEndX': '37.6'}, {'Zone': 'Back'}, {'PassEndY': '68.8'}, {'Length': '16.7'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'shortPassInaccurate', 'passHead', 'passForward', 'passRight', 'midThird', 'pos']",True,Kostas Tsimikas,37.6,68.8,,,,,,,,,,,1729245,2023-11-12,DL,301455.0,Home,,,Pass,0.1,4.0,2617086257.0,3 : 0,Liverpool - Brentford,Liverpool,21.0,True,False,False,False,False,False,False,,,False,16.413713778423215,-0.33523721255651556,False
5,5.0,0.0,7.0,189,66.2,28.9,0.0,1.0,,Unsuccessful,"[{'PassEndY': '3.8'}, {'Length': '26.9'}, {'PassEndX': '86.0'}, {'Angle': '5.60'}, {'StandingSave': True}, {'Zone': 'Right'}, {'HeadPass': True}]","['touches', 'passInaccurate', 'shortPassInaccurate', 'passHead', 'passForward', 'passRight', 'finalThird', 'pos']",True,Christian Nørgaard,86.0,3.8,,,,,,,,,,,1729245,2023-11-12,MC,101856.0,Away,,,Pass,0.11666666666666667,5.0,2617086361.0,3 : 0,Liverpool - Brentford,Brentford,6.0,True,False,False,False,False,False,False,,,False,31.9695167307859,-0.9028945549277096,False
6,4.0,0.0,11.0,26,15.8,95.9,0.0,1.0,,Successful,[],['ballRecovery'],False,Kostas Tsimikas,,,,,,,,,,,,,1729245,2023-11-12,DL,301455.0,Home,,,BallRecovery,0.18333333333333332,6.0,2617086315.0,3 : 0,Liverpool - Brentford,Liverpool,21.0,True,False,False,True,False,False,False,,,False,,,False
7,5.0,0.0,12.0,26,15.2,95.4,0.0,1.0,,Successful,"[{'PassEndY': '82.6'}, {'PassEndX': '22.2'}, {'Zone': 'Back'}, {'Length': '11.4'}, {'Angle': '5.41'}, {'StandingSave': True}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'defensiveThird', 'pos']",True,Kostas Tsimikas,22.2,82.6,,,,,,,,,,,1729245,2023-11-12,DL,301455.0,Home,0.0010354687987988009,0.0010354687987988009,Pass,0.2,7.0,2617086487.0,3 : 0,Liverpool - Brentford,Liverpool,21.0,True,False,False,False,False,False,False,,,False,14.589036979869517,-1.0703555136476028,False
8,5.5,0.0,14.5,26,22.2,82.6,0.0,1.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,Wataru Endo,12.6,92.3,,,,,,6.0,,,,,1729245,2023-11-12,MC,86829.0,Home,0.00037931495820144566,0.00037931495820144566,Carry,0.24166666666666667,,,,,,,True,False,False,False,False,False,False,,,False,13.647344063956183,2.351013189408106,False
9,6.0,0.0,17.0,26,12.6,92.3,0.0,1.0,,Successful,"[{'Zone': 'Back'}, {'PassEndX': '17.1'}, {'StandingSave': True}, {'Angle': '6.15'}, {'Length': '4.8'}, {'PassEndY': '91.4'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'defensiveThird', 'pos']",True,Wataru Endo,17.1,91.4,,,,,,,,,,,1729245,2023-11-12,MC,86829.0,Home,0.00037931495820144566,0.00037931495820144566,Pass,0.2833333333333333,8.0,2617086513.0,3 : 0,Liverpool - Brentford,Liverpool,3.0,True,False,False,False,False,False,False,,,False,4.589117562233507,-0.19739555984987886,False
