,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerName,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,match_date,position,playerId,Venue,xThreat,xThreat_gen,event_type,cumulative_mins,index,id,Score,match_string,team_name,shirtNo,is_open_play,is_progressive,is_pass_into_box,won_possession,key_pass,assist,FinalThirdPasses,is_carry_into_box,progressive_carry,pre_assist,distance,angle,switch
0,2.0,0.0,0.0,15,0.0,0.0,0.0,1.0,,Successful,[],[],False,Unknown,,,,,,,,,,,,,1729198,2023-08-13,,,Home,,,Start,0.0,0.0,2576720701.0,1 : 1,Chelsea - Liverpool,Chelsea,,True,False,False,False,False,False,False,,,False,,,False
1,2.0,0.0,0.0,26,0.0,0.0,0.0,1.0,,Successful,[],[],False,Unknown,,,,,,,,,,,,,1729198,2023-08-13,,,Away,,,Start,0.0,1.0,2576720719.0,1 : 1,Chelsea - Liverpool,Liverpool,,True,False,False,False,False,False,False,,,False,,,False
2,3.0,0.0,0.0,15,50.0,50.0,0.0,1.0,,Successful,"[{'Length': '2.9'}, {'PassEndY': '47.0'}, {'Zone': 'Center'}, {'PassEndX': '52.0'}, {'Angle': '5.51'}, {'StandingSave': True}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'midThird', 'pos']",True,Nicolas Jackson,52.0,47.0,,,,,,,,,,,1729198,2023-08-13,FW,426050.0,Home,0.0004571635942098272,0.0004571635942098272,Pass,0.0,2.0,2576720771.0,1 : 1,Chelsea - Liverpool,Chelsea,15.0,True,False,False,False,False,False,False,,,False,3.605551275463989,-0.982793723247329,False
3,4.0,0.0,0.0,15,51.8,47.0,0.0,1.0,,Successful,"[{'Length': '18.4'}, {'PassEndY': '54.9'}, {'Angle': '2.85'}, {'Zone': 'Back'}, {'StandingSave': True}, {'PassEndX': '35.0'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'midThird', 'pos']",True,Enzo Fernández,35.0,54.9,,,,,,,,,,,1729198,2023-08-13,MC,369430.0,Home,-0.004047183113669223,0.0,Pass,0.0,3.0,2576720779.0,1 : 1,Chelsea - Liverpool,Chelsea,8.0,True,False,False,False,False,False,False,,,False,18.56475154695047,2.7020367680139086,False
4,5.0,0.0,3.0,15,37.1,54.0,0.0,1.0,,Unsuccessful,"[{'PassEndY': '0.0'}, {'Chipped': True}, {'Zone': 'Right'}, {'StandingSave': True}, {'Length': '50.0'}, {'PassEndX': '68.5'}, {'Angle': '5.43'}, {'Longball': True}]","['touches', 'passInaccurate', 'passChipped', 'passLongBallInaccurate', 'passForward', 'passRight', 'finalThird', 'pos']",True,Levi Colwill,68.5,0.0,,,,,,,,,,,1729198,2023-08-13,DC,421351.0,Home,,,Pass,0.05,4.0,2576720805.0,1 : 1,Chelsea - Liverpool,Chelsea,26.0,True,False,False,False,False,False,False,,,False,62.46567057192294,-1.044104684585567,False
5,4.0,0.0,24.0,26,29.9,100.0,0.0,1.0,,Unsuccessful,"[{'ThrowIn': True}, {'Angle': '6.15'}, {'Length': '26.4'}, {'Longball': True}, {'PassEndX': '54.8'}, {'Zone': 'Left'}, {'PassEndY': '96.0'}]","['touches', 'throwIn', 'passForward', 'passRight', 'midThird']",True,Andy Robertson,54.8,96.0,,,,,,,,,,,1729198,2023-08-13,DL,115726.0,Away,,,Pass,0.4,5.0,2576721149.0,1 : 1,Chelsea - Liverpool,Liverpool,26.0,False,True,False,False,False,False,False,,,False,25.219238687954082,-0.1592817303894894,False
6,7.0,0.0,26.0,15,46.2,9.5,0.0,1.0,,Successful,[],['ballRecovery'],False,Axel Disasi,,,,,,,,,,,,,1729198,2023-08-13,DC,300426.0,Home,,,BallRecovery,0.43333333333333335,6.0,2576721169.0,1 : 1,Chelsea - Liverpool,Chelsea,2.0,True,False,False,True,False,False,False,,,False,,,False
7,8.0,0.0,26.0,15,46.5,9.4,0.0,1.0,,Successful,"[{'Length': '8.6'}, {'Angle': '0.26'}, {'StandingSave': True}, {'PassEndY': '12.6'}, {'PassEndX': '54.4'}, {'Zone': 'Right'}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'shortPassAccurate', 'passForward', 'passLeft', 'midThird', 'pos']",True,Axel Disasi,54.4,12.6,,,,,,,,,,,1729198,2023-08-13,DC,300426.0,Home,0.002464623950820191,0.002464623950820191,Pass,0.43333333333333335,7.0,2576721189.0,1 : 1,Chelsea - Liverpool,Chelsea,2.0,True,False,False,False,False,False,False,,,False,8.523496934944012,0.3848636480116623,False
8,9.0,0.0,27.0,15,54.3,14.3,0.0,1.0,,Successful,"[{'StandingSave': True}, {'Angle': '3.69'}, {'PassEndY': '8.1'}, {'Length': '8.1'}, {'Zone': 'Back'}, {'PassEndX': '47.7'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'midThird', 'pos']",True,Conor Gallagher,47.7,8.1,,,,,,,,,,,1729198,2023-08-13,MC,375621.0,Home,-0.002364413293721654,0.0,Pass,0.45,8.0,2576721227.0,1 : 1,Chelsea - Liverpool,Chelsea,23.0,True,False,False,False,False,False,False,,,False,9.055385138137414,-2.3874343236226125,False
9,9.5,0.0,28.0,15,47.7,8.1,0.0,1.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,Reece James,41.5,5.8,,,,,,10.0,,,,,1729198,2023-08-13,DMR,361330.0,Home,-0.001987362321195065,0.0,Carry,0.4666666666666667,,,,,,,True,False,False,False,False,False,False,,,False,6.6128662469461785,-2.786361791543112,False
