,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerName,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,match_date,position,playerId,Venue,xThreat,xThreat_gen,event_type,cumulative_mins,index,id,Score,match_string,team_name,shirtNo,is_open_play,is_progressive,is_pass_into_box,won_possession,key_pass,assist,FinalThirdPasses,is_carry_into_box,progressive_carry,pre_assist,distance,angle,switch
0,2.0,0.0,0.0,26,0.0,0.0,0.0,1.0,,Successful,[],[],False,Unknown,,,,,,,,,,,,,1729306,2023-10-08,,,Away,,,Start,0.0,0.0,2602090715.0,2 : 2,Brighton - Liverpool,Liverpool,,True,False,False,False,False,False,False,,,False,,,False
1,2.0,0.0,0.0,211,0.0,0.0,0.0,1.0,,Successful,[],[],False,Unknown,,,,,,,,,,,,,1729306,2023-10-08,,,Home,,,Start,0.0,1.0,2602090803.0,2 : 2,Brighton - Liverpool,Brighton,,True,False,False,False,False,False,False,,,False,,,False
2,4.0,0.0,0.0,26,50.1,49.7,0.0,1.0,,Successful,"[{'Zone': 'Back'}, {'PassEndY': '44.5'}, {'Angle': '3.28'}, {'StandingSave': True}, {'PassEndX': '26.7'}, {'Length': '24.8'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'defensiveThird', 'pos']",True,Dominik Szoboszlai,26.7,44.5,,,,,,,,,,,1729306,2023-10-08,MC,369875.0,Away,-0.0049941160602268875,0.0,Pass,0.0,2.0,2602091093.0,2 : 2,Brighton - Liverpool,Liverpool,8.0,True,False,False,False,False,False,False,,,False,23.97081558896151,-2.922923707715851,False
3,5.0,0.0,2.0,26,27.7,44.5,0.0,1.0,,Successful,"[{'Length': '49.8'}, {'StandingSave': True}, {'PassEndY': '87.9'}, {'Zone': 'Left'}, {'Angle': '0.63'}, {'PassEndX': '65.9'}, {'Longball': True}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'passLongBallAccurate', 'passForward', 'passLeft', 'midThird', 'pos']",True,Joël Matip,65.9,87.9,,,,,,,,,,,1729306,2023-10-08,DC,74341.0,Away,0.010026013203811916,0.010026013203811916,Pass,0.03333333333333333,3.0,2602091135.0,2 : 2,Brighton - Liverpool,Liverpool,32.0,True,True,False,False,False,False,False,,,False,57.81695253124295,0.8490376014109287,True
4,6.0,0.0,4.0,26,66.0,88.0,0.0,1.0,,Unsuccessful,"[{'Zone': 'Center'}, {'Angle': '5.24'}, {'PassEndX': '71.7'}, {'PassEndY': '72.8'}, {'Length': '11.9'}, {'Chipped': True}]","['touches', 'passInaccurate', 'shortPassInaccurate', 'passChipped', 'passForward', 'passRight', 'finalThird', 'pos']",True,Andy Robertson,71.7,72.8,,,,,,,,,,,1729306,2023-10-08,DL,115726.0,Away,,,Pass,0.06666666666666667,4.0,2602091147.0,2 : 2,Brighton - Liverpool,Liverpool,26.0,True,True,False,False,False,False,False,,,False,16.23360711610331,-1.2120256565243244,False
5,3.0,0.0,6.0,211,28.6,35.7,0.0,1.0,,Successful,[],['ballRecovery'],False,Lewis Dunk,,,,,,,,,,,,,1729306,2023-10-08,DC,86441.0,Home,,,BallRecovery,0.1,5.0,2602091195.0,2 : 2,Brighton - Liverpool,Brighton,5.0,True,False,False,True,False,False,False,,,False,,,False
6,4.0,0.0,7.0,211,28.6,35.7,0.0,1.0,,Successful,"[{'Length': '12.4'}, {'Zone': 'Back'}, {'PassEndY': '46.7'}, {'PassEndX': '19.2'}, {'Angle': '2.49'}, {'StandingSave': True}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'defensiveThird', 'pos']",True,Lewis Dunk,19.2,46.7,,,,,,,,,,,1729306,2023-10-08,DC,86441.0,Home,-0.0008150996196421654,0.0,Pass,0.11666666666666667,6.0,2602091303.0,2 : 2,Brighton - Liverpool,Brighton,5.0,True,False,False,False,False,False,False,,,False,14.46927779814874,2.277923349671067,False
7,5.0,0.0,10.0,211,19.2,46.7,0.0,1.0,,Successful,"[{'Length': '16.4'}, {'StandingSave': True}, {'Angle': '3.20'}, {'Zone': 'Back'}, {'PassEndY': '45.3'}, {'PassEndX': '3.6'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'defensiveThird', 'pos']",True,Igor Julio,3.6,45.3,,,,,,,,,,,1729306,2023-10-08,DC,382241.0,Home,-0.0009854266378991616,0.0,Pass,0.16666666666666666,7.0,2602091459.0,2 : 2,Brighton - Liverpool,Brighton,3.0,True,False,False,False,False,False,False,,,False,15.662694531912445,-3.0520888352381825,False
8,5.5,0.0,14.5,211,3.6,45.3,0.0,1.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,Bart Verbruggen,8.0,44.7,,,,,,6.0,,,,,1729306,2023-10-08,GK,400138.0,Home,-0.001358584826485645,0.0,Carry,0.24166666666666664,,,,,,,True,False,False,False,False,False,False,,,False,4.440720662234903,-0.13552771398549945,False
9,6.0,0.0,19.0,211,8.0,44.7,0.0,1.0,,Successful,"[{'Zone': 'Back'}, {'PassEndX': '11.9'}, {'Angle': '4.93'}, {'Length': '18.9'}, {'PassEndY': '17.5'}, {'StandingSave': True}]","['touches', 'passAccurate', 'shortPassAccurate', 'passForward', 'passRight', 'defensiveThird', 'pos']",True,Bart Verbruggen,11.9,17.5,,,,,,,,,,,1729306,2023-10-08,GK,400138.0,Home,-0.001358584826485645,0.0,Pass,0.31666666666666665,8.0,2602091479.0,2 : 2,Brighton - Liverpool,Brighton,1.0,True,False,False,False,False,False,False,,,False,27.478173156161603,-1.4283846041970603,False
10,7.0,0.0,22.0,211,11.1,18.8,0.0,1.0,,Successful,"[{'StandingSave': True}, {'Length': '21.0'}, {'Angle': '2.01'}, {'PassEndX': '2.6'}, {'Zone': 'Back'}, {'PassEndY': '46.7'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'defensiveThird', 'pos']",True,Lewis Dunk,2.6,46.7,,,,,,,,,,,1729306,2023-10-08,DC,86441.0,Home,0.0009027215482148802,0.0009027215482148802,Pass,0.36666666666666664,9.0,2602091579.0,2 : 2,Brighton - Liverpool,Brighton,5.0,True,False,False,False,False,False,False,,,False,29.166076184499005,1.8665223892588911,False
