,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerName,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,match_date,position,playerId,Venue,xThreat,xThreat_gen,event_type,cumulative_mins,index,id,Score,match_string,team_name,shirtNo,is_open_play,is_progressive,is_pass_into_box,won_possession,key_pass,assist,FinalThirdPasses,is_carry_into_box,progressive_carry,pre_assist,distance,angle,switch
0,2.0,0.0,0.0,26,0.0,0.0,0.0,1.0,,Successful,[],[],False,Unknown,,,,,,,,,,,,,1775468,2023-09-27,,,Home,,,Start,0.0,0.0,2596067843.0,3 : 1,Liverpool - Leicester,Liverpool,,True,False,False,False,False,False,False,,,False,,,False
1,2.0,0.0,0.0,14,0.0,0.0,0.0,1.0,,Successful,[],[],False,Unknown,,,,,,,,,,,,,1775468,2023-09-27,,,Away,,,Start,0.0,1.0,2596067873.0,3 : 1,Liverpool - Leicester,Leicester,,True,False,False,False,False,False,False,,,False,,,False
2,3.0,0.0,0.0,26,50.0,50.0,0.0,1.0,,Successful,"[{'StandingSave': True}, {'Zone': 'Back'}, {'Length': '16.8'}, {'Angle': '3.30'}, {'PassEndY': '46.1'}, {'PassEndX': '34.2'}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passRight', 'midThird', 'pos']",True,Harvey Elliott,34.2,46.1,,,,,,,,,,,1775468,2023-09-27,MC,363982.0,Home,-0.0037794541540188773,0.0,Pass,0.0,2.0,2596067909.0,3 : 1,Liverpool - Leicester,Liverpool,19.0,True,False,False,False,False,False,False,,,False,16.274212730574707,-2.8995946075676646,False
3,4.0,0.0,2.0,26,34.2,48.4,0.0,1.0,,Successful,"[{'Chipped': True}, {'PassEndY': '99.9'}, {'Longball': True}, {'PassEndX': '68.4'}, {'Length': '50.2'}, {'Zone': 'Left'}, {'Angle': '0.77'}, {'StandingSave': True}]","['touches', 'passForwardZoneAccurate', 'passAccurate', 'passChipped', 'passLongBallAccurate', 'successfulFinalThirdPasses', 'passForward', 'passLeft', 'finalThird', 'pos']",True,Ibrahima Konaté,68.4,99.9,,,,,,,,,,,1775468,2023-09-27,DC,345957.0,Home,0.010396897642913181,0.010396897642913181,Pass,0.03333333333333333,3.0,2596068013.0,3 : 1,Liverpool - Leicester,Liverpool,5.0,True,False,False,False,False,False,True,,,False,61.82143641165256,0.984588248014597,False
4,5.0,0.0,6.0,26,68.7,98.9,0.0,1.0,,Unsuccessful,"[{'Angle': '5.14'}, {'StandingSave': True}, {'PassEndY': '89.3'}, {'Zone': 'Left'}, {'Length': '7.2'}, {'PassEndX': '71.5'}]","['touches', 'passInaccurate', 'shortPassInaccurate', 'passForward', 'passRight', 'finalThird', 'pos']",True,Cody Gakpo,71.5,89.3,,,,,,,,,,,1775468,2023-09-27,FW,352825.0,Home,,,Pass,0.1,4.0,2596068025.0,3 : 1,Liverpool - Leicester,Liverpool,18.0,True,False,False,False,False,False,False,,,False,10.000000000000007,-1.2870022175865692,False
5,3.0,0.0,7.0,14,26.4,12.2,0.0,1.0,,Unsuccessful,"[{'HeadPass': True}, {'PassEndY': '17.8'}, {'Angle': '0.41'}, {'Length': '9.6'}, {'PassEndX': '34.8'}, {'Zone': 'Back'}]","['touches', 'passBackZoneInaccurate', 'passInaccurate', 'shortPassInaccurate', 'passHead', 'passForward', 'passLeft', 'midThird', 'pos']",True,Harry Souttar,34.8,17.8,,,,,,,,,,,1775468,2023-09-27,DC,344380.0,Away,,,Pass,0.11666666666666667,5.0,2596068043.0,3 : 1,Liverpool - Leicester,Leicester,15.0,True,False,False,False,False,False,False,,,False,10.095543571299169,0.5880026035475677,False
6,6.0,0.0,8.0,26,67.7,79.4,0.0,1.0,,Successful,"[{'Offensive': True}, {'OppositeRelatedEvent': '4'}, {'Zone': 'Left'}]","['touches', 'dispossessed']",True,Wataru Endo,,,,,,,,,,,,,1775468,2023-09-27,MC,86829.0,Home,,,Dispossessed,0.13333333333333333,6.0,2596068067.0,3 : 1,Liverpool - Leicester,Liverpool,3.0,True,False,False,False,False,False,False,,,False,,,False
7,4.0,0.0,9.0,14,32.3,20.6,0.0,1.0,,Successful,"[{'Zone': 'Back'}, {'Defensive': True}, {'StandingSave': True}, {'OppositeRelatedEvent': '6'}]","['touches', 'tackleWon']",True,Yunus Akgün,,,,,,,,,,,,,1775468,2023-09-27,MC,361709.0,Away,,,Tackle,0.15,7.0,2596068111.0,3 : 1,Liverpool - Leicester,Leicester,29.0,True,False,False,True,False,False,False,,,False,,,False
8,5.0,0.0,10.0,14,33.2,20.9,0.0,1.0,,Successful,[],['ballRecovery'],False,Yunus Akgün,,,,,,,,,,,,,1775468,2023-09-27,MC,361709.0,Away,,,BallRecovery,0.16666666666666666,8.0,2596068117.0,3 : 1,Liverpool - Leicester,Leicester,29.0,True,False,False,True,False,False,False,,,False,,,False
9,6.0,0.0,10.0,14,32.2,21.5,0.0,1.0,,Successful,"[{'PassEndX': '16.9'}, {'Length': '19.1'}, {'Zone': 'Back'}, {'PassEndY': '36.7'}, {'Angle': '2.57'}, {'StandingSave': True}]","['touches', 'passAccurate', 'shortPassAccurate', 'passBack', 'passLeft', 'defensiveThird', 'pos']",True,Yunus Akgün,16.9,36.7,,,,,,,,,,,1775468,2023-09-27,MC,361709.0,Away,-0.0012279823876804735,0.0,Pass,0.16666666666666666,9.0,2596068149.0,3 : 1,Liverpool - Leicester,Leicester,29.0,True,False,False,False,False,False,False,,,False,21.566872745022636,2.359473166968597,False
